"","D.Item.AOM","D.Item.Root.Comp.Proc_Major_low","D.Item","B.Code","A.Level.Name","Time","D.Type","D.Item.Group","D.Source","D.Process.Mech","D.Process.Chem","D.Process.Bio","D.Process.Therm","D.Process.Dehy","D.Process.Other","D.Amount","D.Unit.Amount","D.Unit.Time","D.Unit.Animals","DC.Is.Dry","D.Ad.lib","D.Day.Start","D.Day.End","D.Notes","row_index","D.ItemxProcess","D.ItemxProcess_original","is_entire_diet","is_group","D.Item.Proc_Major","D.Item.Proc_All","D.Item.Root.Comp.Proc_Major","D.Item.Root.Other.Comp.Proc_All","D.Item.Root.Comp","D.Item.Comp","AOM.Terms","AOM.Scientific.Name","D.Item.Is.Tree"
"2444","AOM_006003","unspecified molasses","Molasses","BO1077","75 Groundnut haulms","99999","Crop Byproduct",NA,"Purchased",NA,NA,NA,NA,NA,NA,5,"%","day","individual",NA,NA,NA,NA,NA,27,"Molasses","Molasses",FALSE,FALSE,"","","Unspecified Molasses","Unspecified Molasses","Unspecified Molasses",NA,"Crop Byproduct/Sugar Processing ByProducts/Unspecified Molasses",NA,FALSE
"2445","AOM_006110","groundnut haulm crushed","Groundnut Haulm","BO1077","25 Groundnut haulms","99999","Crop Byproduct",NA,"Purchased","Crushed",NA,NA,NA,NA,NA,25,"% Diet","day","individual",NA,NA,NA,NA,NA,29,"Groundnut Haulm||Crushing","Groundnut Haulm||Crushing",FALSE,FALSE,"Crushed","Crushed","Groundnut Haulm Crushed","Groundnut Haulm Crushed","Groundnut Haulm","Haulm","Crop Byproduct/Legume ByProducts/Groundnut/Groundnut Haulm/Groundnut Haulm Crushed","Arachis hypogaea",FALSE
"2446","AOM_006110","groundnut haulm crushed","Groundnut Haulm","BO1077","50 Groundnut haulms","99999","Crop Byproduct",NA,"Purchased","Crushed",NA,NA,NA,NA,NA,50,"% Diet","day","individual",NA,NA,NA,NA,NA,30,"Groundnut Haulm||Crushing","Groundnut Haulm||Crushing",FALSE,FALSE,"Crushed","Crushed","Groundnut Haulm Crushed","Groundnut Haulm Crushed","Groundnut Haulm","Haulm","Crop Byproduct/Legume ByProducts/Groundnut/Groundnut Haulm/Groundnut Haulm Crushed","Arachis hypogaea",FALSE
"2447","AOM_006110","groundnut haulm crushed","Groundnut Haulm","BO1077","75 Groundnut haulms","99999","Crop Byproduct",NA,"Purchased","Crushed",NA,NA,NA,NA,NA,75,"% Diet","day","individual",NA,NA,NA,NA,NA,31,"Groundnut Haulm||Crushing","Groundnut Haulm||Crushing",FALSE,FALSE,"Crushed","Crushed","Groundnut Haulm Crushed","Groundnut Haulm Crushed","Groundnut Haulm","Haulm","Crop Byproduct/Legume ByProducts/Groundnut/Groundnut Haulm/Groundnut Haulm Crushed","Arachis hypogaea",FALSE
"2448","AOM_001581","andropogon gayanus dried","Andropogon gayanus","BO1077","75 Groundnut haulms","99999","Forage Plants","Base","On-farm",NA,NA,NA,NA,"Dried",NA,NA,"ad libitum","day","individual",NA,"Yes",NA,NA,"Unspecified",28,"Andropogon gayanus||Drying","Andropogon gayanus||Drying",FALSE,FALSE,"Dried","Dried","Andropogon gayanus Dried","Andropogon gayanus Dried","Andropogon gayanus",NA,"Forage Plants/Cereal and Grass Forages/Andropogon gayanus/Andropogon gayanus Dried","Andropogon gayanus",FALSE
"2449","AOM_001581","andropogon gayanus dried","Andropogon gayanus","BO1077","75 Groundnut haulms","99999","Forage Plants","Base","On-farm",NA,NA,NA,NA,"Dried",NA,NA,"ad libitum","day","individual",NA,"Yes",NA,NA,"Unspecified",28,"Andropogon gayanus||Drying","Andropogon gayanus||Drying",FALSE,FALSE,"Dried","Dried","Andropogon gayanus Dried","Andropogon gayanus Dried","Andropogon gayanus",NA,"Forage Plants/Cereal and Grass Forages/Andropogon gayanus/Andropogon gayanus Dried","Andropogon gayanus",FALSE
"2450","AOM_001581","andropogon gayanus dried","Andropogon gayanus","BO1077","75 Groundnut haulms","99999","Forage Plants","Base","On-farm",NA,NA,NA,NA,"Dried",NA,NA,"ad libitum","day","individual",NA,"Yes",NA,NA,"Unspecified",28,"Andropogon gayanus||Drying","Andropogon gayanus||Drying",FALSE,FALSE,"Dried","Dried","Andropogon gayanus Dried","Andropogon gayanus Dried","Andropogon gayanus",NA,"Forage Plants/Cereal and Grass Forages/Andropogon gayanus/Andropogon gayanus Dried","Andropogon gayanus",FALSE
"2451","AOM_001581","andropogon gayanus dried","Andropogon gayanus","BO1077","75 Groundnut haulms","99999","Forage Plants","Base","On-farm",NA,NA,NA,NA,"Dried",NA,NA,"ad libitum","day","individual",NA,"Yes",NA,NA,"Unspecified",28,"Andropogon gayanus||Drying","Andropogon gayanus||Drying",FALSE,FALSE,"Dried","Dried","Andropogon gayanus Dried","Andropogon gayanus Dried","Andropogon gayanus",NA,"Forage Plants/Cereal and Grass Forages/Andropogon gayanus/Andropogon gayanus Dried","Andropogon gayanus",FALSE
"2452","AOM_000698","natural pasture dried","Natural Pasture","BO1078","60R:40C","99999","Forage Plants",NA,NA,"",NA,NA,NA,"Dried",NA,5.9,"%","day","individual",NA,NA,NA,NA,NA,1,"Natural Pasture||Chopping||Drying","Natural Pasture||Chopping||Drying",FALSE,FALSE,"Dried","Dried","Natural Pasture Dried","Natural Pasture Dried","Natural Pasture",NA,"Forage Plants/Cereal and Grass Forages/Pasture/Natural Pasture/Natural Pasture Dried",NA,FALSE
"2453","AOM_000698","natural pasture dried","Natural Pasture","BO1078","50R:50C","99999","Forage Plants",NA,NA,"",NA,NA,NA,"Dried",NA,25,"%","day","individual",NA,NA,NA,NA,NA,2,"Natural Pasture||Chopping||Drying","Natural Pasture||Chopping||Drying",FALSE,FALSE,"Dried","Dried","Natural Pasture Dried","Natural Pasture Dried","Natural Pasture",NA,"Forage Plants/Cereal and Grass Forages/Pasture/Natural Pasture/Natural Pasture Dried",NA,FALSE
"2454","AOM_000698","natural pasture dried","Natural Pasture","BO1078","40R:60C","99999","Forage Plants",NA,NA,"",NA,NA,NA,"Dried",NA,20,"%","day","individual",NA,NA,NA,NA,NA,3,"Natural Pasture||Chopping||Drying","Natural Pasture||Chopping||Drying",FALSE,FALSE,"Dried","Dried","Natural Pasture Dried","Natural Pasture Dried","Natural Pasture",NA,"Forage Plants/Cereal and Grass Forages/Pasture/Natural Pasture/Natural Pasture Dried",NA,FALSE
"2455","AOM_000698","natural pasture dried","Natural Pasture","BO1078","30R:70C","99999","Forage Plants",NA,NA,"",NA,NA,NA,"Dried",NA,15,"%","day","individual",NA,NA,NA,NA,NA,4,"Natural Pasture||Chopping||Drying","Natural Pasture||Chopping||Drying",FALSE,FALSE,"Dried","Dried","Natural Pasture Dried","Natural Pasture Dried","Natural Pasture",NA,"Forage Plants/Cereal and Grass Forages/Pasture/Natural Pasture/Natural Pasture Dried",NA,FALSE
"2456","AOM_004000","haricot bean vine","Haricot Bean Vine","BO1078","60R:40C","99999","Crop Byproduct",NA,NA,"",NA,NA,NA,NA,NA,30,"%","day","individual",NA,NA,NA,NA,NA,5,"Haricot Bean Vine||Chopping","Haricot Bean Vine||Chopping",FALSE,FALSE,"","","Haricot Bean Vine","Haricot Bean Vine","Haricot Bean Vine","Vine","Crop Byproduct/Legume ByProducts/Haricot Bean/Haricot Bean Vine","Phaseolus vulgaris",FALSE
"2457","AOM_004000","haricot bean vine","Haricot Bean Vine","BO1078","50R:50C","99999","Crop Byproduct",NA,NA,"",NA,NA,NA,NA,NA,25,"%","day","individual",NA,NA,NA,NA,NA,6,"Haricot Bean Vine||Chopping","Haricot Bean Vine||Chopping",FALSE,FALSE,"","","Haricot Bean Vine","Haricot Bean Vine","Haricot Bean Vine","Vine","Crop Byproduct/Legume ByProducts/Haricot Bean/Haricot Bean Vine","Phaseolus vulgaris",FALSE
"2458","AOM_004000","haricot bean vine","Haricot Bean Vine","BO1078","40R:60C","99999","Crop Byproduct",NA,NA,"",NA,NA,NA,NA,NA,20,"%","day","individual",NA,NA,NA,NA,NA,7,"Haricot Bean Vine||Chopping","Haricot Bean Vine||Chopping",FALSE,FALSE,"","","Haricot Bean Vine","Haricot Bean Vine","Haricot Bean Vine","Vine","Crop Byproduct/Legume ByProducts/Haricot Bean/Haricot Bean Vine","Phaseolus vulgaris",FALSE
"2459","AOM_004000","haricot bean vine","Haricot Bean Vine","BO1078","30R:70C","99999","Crop Byproduct",NA,NA,"",NA,NA,NA,NA,NA,15,"%","day","individual",NA,NA,NA,NA,NA,8,"Haricot Bean Vine||Chopping","Haricot Bean Vine||Chopping",FALSE,FALSE,"","","Haricot Bean Vine","Haricot Bean Vine","Haricot Bean Vine","Vine","Crop Byproduct/Legume ByProducts/Haricot Bean/Haricot Bean Vine","Phaseolus vulgaris",FALSE
"2460","AOM_000585","wheat bran","Wheat Bran","BO1078","60R:40C","99999","Crop Byproduct",NA,NA,NA,NA,NA,NA,NA,NA,27.6,"%","day","individual",NA,NA,NA,NA,NA,9,"Wheat Bran","Wheat Bran",FALSE,FALSE,"","","Wheat Bran","Wheat Bran","Wheat Bran","Bran","Crop Byproduct/Cereal ByProducts/Wheat/Wheat Bran","Triticum aestivum",FALSE
"2461","AOM_000585","wheat bran","Wheat Bran","BO1078","50R:50C","99999","Crop Byproduct",NA,NA,NA,NA,NA,NA,NA,NA,34.5,"%","day","individual",NA,NA,NA,NA,NA,10,"Wheat Bran","Wheat Bran",FALSE,FALSE,"","","Wheat Bran","Wheat Bran","Wheat Bran","Bran","Crop Byproduct/Cereal ByProducts/Wheat/Wheat Bran","Triticum aestivum",FALSE
"2462","AOM_000585","wheat bran","Wheat Bran","BO1078","40R:60C","99999","Crop Byproduct",NA,NA,NA,NA,NA,NA,NA,NA,41.4,"%","day","individual",NA,NA,NA,NA,NA,11,"Wheat Bran","Wheat Bran",FALSE,FALSE,"","","Wheat Bran","Wheat Bran","Wheat Bran","Bran","Crop Byproduct/Cereal ByProducts/Wheat/Wheat Bran","Triticum aestivum",FALSE
"2463","AOM_000585","wheat bran","Wheat Bran","BO1078","30R:70C","99999","Crop Byproduct",NA,NA,NA,NA,NA,NA,NA,NA,48.3,"%","day","individual",NA,NA,NA,NA,NA,12,"Wheat Bran","Wheat Bran",FALSE,FALSE,"","","Wheat Bran","Wheat Bran","Wheat Bran","Bran","Crop Byproduct/Cereal ByProducts/Wheat/Wheat Bran","Triticum aestivum",FALSE
"2464","AOM_001191","noug seed ground","Noug Seed","BO1078","60R:40C","99999","Crop Product",NA,NA,"Ground",NA,NA,NA,NA,NA,6.5,"%","day","individual",NA,NA,NA,NA,NA,13,"Noug Seed||Grinding","Noug Seed||Grinding",FALSE,FALSE,"Ground","Ground","Noug Seed Ground","Noug Seed Ground","Noug Seed","Seed","Crop Byproduct/Oil Plant ByProducts/Noug/Noug Seed Ground","Guizotia abyssinica",FALSE
"2465","AOM_001191","noug seed ground","Noug Seed","BO1078","50R:50C","99999","Crop Product",NA,NA,"Ground",NA,NA,NA,NA,NA,8.12,"%","day","individual",NA,NA,NA,NA,NA,14,"Noug Seed||Grinding","Noug Seed||Grinding",FALSE,FALSE,"Ground","Ground","Noug Seed Ground","Noug Seed Ground","Noug Seed","Seed","Crop Byproduct/Oil Plant ByProducts/Noug/Noug Seed Ground","Guizotia abyssinica",FALSE
"2466","AOM_001191","noug seed ground","Noug Seed","BO1078","40R:60C","99999","Crop Product",NA,NA,"Ground",NA,NA,NA,NA,NA,9.74,"%","day","individual",NA,NA,NA,NA,NA,15,"Noug Seed||Grinding","Noug Seed||Grinding",FALSE,FALSE,"Ground","Ground","Noug Seed Ground","Noug Seed Ground","Noug Seed","Seed","Crop Byproduct/Oil Plant ByProducts/Noug/Noug Seed Ground","Guizotia abyssinica",FALSE
"2467","AOM_001191","noug seed ground","Noug Seed","BO1078","30R:70C","99999","Crop Product",NA,NA,"Ground",NA,NA,NA,NA,NA,11.37,"%","day","individual",NA,NA,NA,NA,NA,16,"Noug Seed||Grinding","Noug Seed||Grinding",FALSE,FALSE,"Ground","Ground","Noug Seed Ground","Noug Seed Ground","Noug Seed","Seed","Crop Byproduct/Oil Plant ByProducts/Noug/Noug Seed Ground","Guizotia abyssinica",FALSE
"2468","AOM_001643","cotton seed ground","Cotton Seed","BO1078","60R:40C","99999","Crop Byproduct",NA,NA,"Ground",NA,NA,NA,NA,NA,5.9,"%","day","individual",NA,NA,NA,NA,NA,17,"Cotton Seed||Grinding","Cotton Seed||Grinding",FALSE,FALSE,"Ground","Ground","Cotton Seed Ground","Cotton Seed Ground","Cotton Seed","Seed","Crop Byproduct/Oil Plant ByProducts/Cotton/Cotton Seed/Cotton Seed Ground","Gossypium",FALSE
"2469","AOM_001643","cotton seed ground","Cotton Seed","BO1078","50R:50C","99999","Crop Byproduct",NA,NA,"Ground",NA,NA,NA,NA,NA,7.38,"%","day","individual",NA,NA,NA,NA,NA,18,"Cotton Seed||Grinding","Cotton Seed||Grinding",FALSE,FALSE,"Ground","Ground","Cotton Seed Ground","Cotton Seed Ground","Cotton Seed","Seed","Crop Byproduct/Oil Plant ByProducts/Cotton/Cotton Seed/Cotton Seed Ground","Gossypium",FALSE
"2470","AOM_001643","cotton seed ground","Cotton Seed","BO1078","40R:60C","99999","Crop Byproduct",NA,NA,"Ground",NA,NA,NA,NA,NA,8.86,"%","day","individual",NA,NA,NA,NA,NA,19,"Cotton Seed||Grinding","Cotton Seed||Grinding",FALSE,FALSE,"Ground","Ground","Cotton Seed Ground","Cotton Seed Ground","Cotton Seed","Seed","Crop Byproduct/Oil Plant ByProducts/Cotton/Cotton Seed/Cotton Seed Ground","Gossypium",FALSE
"2471","AOM_001643","cotton seed ground","Cotton Seed","BO1078","30R:70C","99999","Crop Byproduct",NA,NA,"Ground",NA,NA,NA,NA,NA,10.33,"%","day","individual",NA,NA,NA,NA,NA,20,"Cotton Seed||Grinding","Cotton Seed||Grinding",FALSE,FALSE,"Ground","Ground","Cotton Seed Ground","Cotton Seed Ground","Cotton Seed","Seed","Crop Byproduct/Oil Plant ByProducts/Cotton/Cotton Seed/Cotton Seed Ground","Gossypium",FALSE
"2472","AOM_001922","water","Water","BO1078","30R:70C","99999","Other Ingredients","Base",NA,NA,NA,NA,NA,NA,NA,NA,"ad libitum","day","individual",NA,"Yes",NA,NA,"unspecified",21,"Water","Water",FALSE,FALSE,"","","Water","Water","Water",NA,"Other Ingredients/Water",NA,FALSE
"2473","AOM_000772","salt","Salt Block","BO1078","30R:70C","99999","Other Ingredients","Base",NA,NA,NA,NA,NA,NA,NA,NA,"ad libitum","day","individual",NA,"Yes",NA,NA,"unspecified",22,"Salt Block","Salt Block",FALSE,FALSE,"","","Salt","Salt","Salt",NA,"Other Ingredients/Mineral/Salt",NA,FALSE
"2474","AOM_001922","water","Water","BO1078","30R:70C","99999","Other Ingredients","Base",NA,NA,NA,NA,NA,NA,NA,NA,"ad libitum","day","individual",NA,"Yes",NA,NA,"unspecified",21,"Water","Water",FALSE,FALSE,"","","Water","Water","Water",NA,"Other Ingredients/Water",NA,FALSE
"2475","AOM_000772","salt","Salt Block","BO1078","30R:70C","99999","Other Ingredients","Base",NA,NA,NA,NA,NA,NA,NA,NA,"ad libitum","day","individual",NA,"Yes",NA,NA,"unspecified",22,"Salt Block","Salt Block",FALSE,FALSE,"","","Salt","Salt","Salt",NA,"Other Ingredients/Mineral/Salt",NA,FALSE
"2476","AOM_001922","water","Water","BO1078","30R:70C","99999","Other Ingredients","Base",NA,NA,NA,NA,NA,NA,NA,NA,"ad libitum","day","individual",NA,"Yes",NA,NA,"unspecified",21,"Water","Water",FALSE,FALSE,"","","Water","Water","Water",NA,"Other Ingredients/Water",NA,FALSE
"2477","AOM_000772","salt","Salt Block","BO1078","30R:70C","99999","Other Ingredients","Base",NA,NA,NA,NA,NA,NA,NA,NA,"ad libitum","day","individual",NA,"Yes",NA,NA,"unspecified",22,"Salt Block","Salt Block",FALSE,FALSE,"","","Salt","Salt","Salt",NA,"Other Ingredients/Mineral/Salt",NA,FALSE
"2478","AOM_001922","water","Water","BO1078","30R:70C","99999","Other Ingredients","Base",NA,NA,NA,NA,NA,NA,NA,NA,"ad libitum","day","individual",NA,"Yes",NA,NA,"unspecified",21,"Water","Water",FALSE,FALSE,"","","Water","Water","Water",NA,"Other Ingredients/Water",NA,FALSE
"2479","AOM_000772","salt","Salt Block","BO1078","30R:70C","99999","Other Ingredients","Base",NA,NA,NA,NA,NA,NA,NA,NA,"ad libitum","day","individual",NA,"Yes",NA,NA,"unspecified",22,"Salt Block","Salt Block",FALSE,FALSE,"","","Salt","Salt","Salt",NA,"Other Ingredients/Mineral/Salt",NA,FALSE
"2480","AOM_001643","cotton seed ground","Cotton Seed","BO1079","CSL 0%","99999","Crop Byproduct",NA,NA,"Ground--Undecorticated",NA,NA,NA,NA,NA,15.41,"% Diet","day","individual",NA,NA,NA,NA,NA,1,"Cotton Seed||Grinding||Undecorticated","Cotton Seed||Grinding||Undecorticated",FALSE,FALSE,"Ground Undecorticated","Ground Undecorticated","Cotton Seed Ground","Cotton Seed Ground Undecorticated","Cotton Seed","Seed","Crop Byproduct/Oil Plant ByProducts/Cotton/Cotton Seed/Cotton Seed Ground","Gossypium",FALSE
"2481","AOM_000648","maize","Maize Yellow","BO1079","CSL 0%","99999","Crop Product",NA,NA,NA,NA,NA,NA,NA,NA,28.81,"% Diet","day","individual",NA,NA,NA,NA,NA,2,"Maize Yellow","Maize Yellow",FALSE,FALSE,"","","Maize","Maize","Maize",NA,"Crop Product/Cereal Products/Maize","Zea mays",FALSE
"2482","AOM_000585","wheat bran","Wheat Bran","BO1079","CSL 0%","99999","Crop Byproduct",NA,NA,NA,NA,NA,NA,NA,NA,14.74,"% Diet","day","individual",NA,NA,NA,NA,NA,3,"Wheat Bran","Wheat Bran",FALSE,FALSE,"","","Wheat Bran","Wheat Bran","Wheat Bran","Bran","Crop Byproduct/Cereal ByProducts/Wheat/Wheat Bran","Triticum aestivum",FALSE
"2483","AOM_000613","soybean ground","Soybean","BO1079","CSL 0%","99999","Crop Product",NA,NA,"Ground",NA,NA,NA,NA,NA,3.35,"% Diet","day","individual",NA,NA,NA,NA,NA,4,"Soybean||Grinding","Soybean||Grinding",FALSE,FALSE,"Ground","Ground","Soybean Ground","Soybean Ground","Soybean",NA,"Crop Product/Legume Products/Soybean/Soybean Ground","Glycine max",FALSE
"2484","AOM_006003","unspecified molasses","Molasses","BO1079","CSL 0%","99999","Crop Byproduct",NA,NA,NA,NA,NA,NA,NA,NA,2.345,"% Diet","day","individual",NA,NA,NA,NA,NA,5,"Molasses","Molasses",FALSE,FALSE,"","","Unspecified Molasses","Unspecified Molasses","Unspecified Molasses",NA,"Crop Byproduct/Sugar Processing ByProducts/Unspecified Molasses",NA,FALSE
"2485","AOM_000760","lime","Limestone","BO1079","CSL 0%","99999","Supplement",NA,NA,NA,NA,NA,NA,NA,NA,1.34,"% Diet","day","individual",NA,NA,NA,NA,NA,6,"Limestone","Limestone",FALSE,FALSE,"","","Lime","Lime","Lime",NA,"Supplement/Mineral/Lime",NA,FALSE
"2486","AOM_000772","salt","Salt","BO1079","CSL 0%","99999","Other Ingredients",NA,NA,NA,NA,NA,NA,NA,NA,0.67,"% Diet","day","individual",NA,NA,NA,NA,NA,7,"Salt","Salt",FALSE,FALSE,"","","Salt","Salt","Salt",NA,"Other Ingredients/Mineral/Salt",NA,FALSE
"2487","AOM_001643","cotton seed ground","Cotton Seed","BO1079","CSL 10%","99999","Crop Byproduct",NA,NA,"Ground--Undecorticated",NA,NA,NA,NA,NA,13.777,"% Diet","day","individual",NA,NA,NA,NA,NA,8,"Cotton Seed||Grinding||Undecorticated","Cotton Seed||Grinding||Undecorticated",FALSE,FALSE,"Ground Undecorticated","Ground Undecorticated","Cotton Seed Ground","Cotton Seed Ground Undecorticated","Cotton Seed","Seed","Crop Byproduct/Oil Plant ByProducts/Cotton/Cotton Seed/Cotton Seed Ground","Gossypium",FALSE
"2488","AOM_000648","maize","Maize Yellow","BO1079","CSL 10%","99999","Crop Product",NA,NA,NA,NA,NA,NA,NA,NA,25.757,"% Diet","day","individual",NA,NA,NA,NA,NA,9,"Maize Yellow","Maize Yellow",FALSE,FALSE,"","","Maize","Maize","Maize",NA,"Crop Product/Cereal Products/Maize","Zea mays",FALSE
"2489","AOM_000585","wheat bran","Wheat Bran","BO1079","CSL 10%","99999","Crop Byproduct",NA,NA,NA,NA,NA,NA,NA,NA,13.178,"% Diet","day","individual",NA,NA,NA,NA,NA,10,"Wheat Bran","Wheat Bran",FALSE,FALSE,"","","Wheat Bran","Wheat Bran","Wheat Bran","Bran","Crop Byproduct/Cereal ByProducts/Wheat/Wheat Bran","Triticum aestivum",FALSE
"2490","AOM_000613","soybean ground","Soybean","BO1079","CSL 10%","99999","Crop Product",NA,NA,"Ground",NA,NA,NA,NA,NA,2.995,"% Diet","day","individual",NA,NA,NA,NA,NA,11,"Soybean||Grinding","Soybean||Grinding",FALSE,FALSE,"Ground","Ground","Soybean Ground","Soybean Ground","Soybean",NA,"Crop Product/Legume Products/Soybean/Soybean Ground","Glycine max",FALSE
"2491","AOM_006003","unspecified molasses","Molasses","BO1079","CSL 10%","99999","Crop Byproduct",NA,NA,NA,NA,NA,NA,NA,NA,2.0965,"% Diet","day","individual",NA,NA,NA,NA,NA,12,"Molasses","Molasses",FALSE,FALSE,"","","Unspecified Molasses","Unspecified Molasses","Unspecified Molasses",NA,"Crop Byproduct/Sugar Processing ByProducts/Unspecified Molasses",NA,FALSE
"2492","AOM_000760","lime","Limestone","BO1079","CSL 10%","99999","Supplement",NA,NA,NA,NA,NA,NA,NA,NA,1.198,"% Diet","day","individual",NA,NA,NA,NA,NA,13,"Limestone","Limestone",FALSE,FALSE,"","","Lime","Lime","Lime",NA,"Supplement/Mineral/Lime",NA,FALSE
"2493","AOM_000772","salt","Salt","BO1079","CSL 10%","99999","Other Ingredients",NA,NA,NA,NA,NA,NA,NA,NA,0.599,"% Diet","day","individual",NA,NA,NA,NA,NA,14,"Salt","Salt",FALSE,FALSE,"","","Salt","Salt","Salt",NA,"Other Ingredients/Mineral/Salt",NA,FALSE
"2494","AOM_001643","cotton seed ground","Cotton Seed","BO1079","CSL 20%","99999","Crop Byproduct",NA,NA,"Ground--Undecorticated",NA,NA,NA,NA,NA,12.213,"% Diet","day","individual",NA,NA,NA,NA,NA,15,"Cotton Seed||Grinding||Undecorticated","Cotton Seed||Grinding||Undecorticated",FALSE,FALSE,"Ground Undecorticated","Ground Undecorticated","Cotton Seed Ground","Cotton Seed Ground Undecorticated","Cotton Seed","Seed","Crop Byproduct/Oil Plant ByProducts/Cotton/Cotton Seed/Cotton Seed Ground","Gossypium",FALSE
"2495","AOM_000648","maize","Maize Yellow","BO1079","CSL 20%","99999","Crop Product",NA,NA,NA,NA,NA,NA,NA,NA,22.833,"% Diet","day","individual",NA,NA,NA,NA,NA,16,"Maize Yellow","Maize Yellow",FALSE,FALSE,"","","Maize","Maize","Maize",NA,"Crop Product/Cereal Products/Maize","Zea mays",FALSE
"2496","AOM_000585","wheat bran","Wheat Bran","BO1079","CSL 20%","99999","Crop Byproduct",NA,NA,NA,NA,NA,NA,NA,NA,11.682,"% Diet","day","individual",NA,NA,NA,NA,NA,17,"Wheat Bran","Wheat Bran",FALSE,FALSE,"","","Wheat Bran","Wheat Bran","Wheat Bran","Bran","Crop Byproduct/Cereal ByProducts/Wheat/Wheat Bran","Triticum aestivum",FALSE
"2497","AOM_000613","soybean ground","Soybean","BO1079","CSL 20%","99999","Crop Product",NA,NA,"Ground",NA,NA,NA,NA,NA,2.655,"% Diet","day","individual",NA,NA,NA,NA,NA,18,"Soybean||Grinding","Soybean||Grinding",FALSE,FALSE,"Ground","Ground","Soybean Ground","Soybean Ground","Soybean",NA,"Crop Product/Legume Products/Soybean/Soybean Ground","Glycine max",FALSE
"2498","AOM_006003","unspecified molasses","Molasses","BO1079","CSL 20%","99999","Crop Byproduct",NA,NA,NA,NA,NA,NA,NA,NA,1.8585,"% Diet","day","individual",NA,NA,NA,NA,NA,19,"Molasses","Molasses",FALSE,FALSE,"","","Unspecified Molasses","Unspecified Molasses","Unspecified Molasses",NA,"Crop Byproduct/Sugar Processing ByProducts/Unspecified Molasses",NA,FALSE
"2499","AOM_000760","lime","Limestone","BO1079","CSL 20%","99999","Supplement",NA,NA,NA,NA,NA,NA,NA,NA,1.062,"% Diet","day","individual",NA,NA,NA,NA,NA,20,"Limestone","Limestone",FALSE,FALSE,"","","Lime","Lime","Lime",NA,"Supplement/Mineral/Lime",NA,FALSE
"2500","AOM_000772","salt","Salt","BO1079","CSL 20%","99999","Other Ingredients",NA,NA,NA,NA,NA,NA,NA,NA,0.531,"% Diet","day","individual",NA,NA,NA,NA,NA,21,"Salt","Salt",FALSE,FALSE,"","","Salt","Salt","Salt",NA,"Other Ingredients/Mineral/Salt",NA,FALSE
"2501","AOM_001643","cotton seed ground","Cotton Seed","BO1079","CSL 30%","99999","Crop Byproduct",NA,NA,"Ground--Undecorticated",NA,NA,NA,NA,NA,10.557,"% Diet","day","individual",NA,NA,NA,NA,NA,22,"Cotton Seed||Grinding||Undecorticated","Cotton Seed||Grinding||Undecorticated",FALSE,FALSE,"Ground Undecorticated","Ground Undecorticated","Cotton Seed Ground","Cotton Seed Ground Undecorticated","Cotton Seed","Seed","Crop Byproduct/Oil Plant ByProducts/Cotton/Cotton Seed/Cotton Seed Ground","Gossypium",FALSE
"2502","AOM_000648","maize","Maize Yellow","BO1079","CSL 30%","99999","Crop Product",NA,NA,NA,NA,NA,NA,NA,NA,19.737,"% Diet","day","individual",NA,NA,NA,NA,NA,23,"Maize Yellow","Maize Yellow",FALSE,FALSE,"","","Maize","Maize","Maize",NA,"Crop Product/Cereal Products/Maize","Zea mays",FALSE
"2503","AOM_000585","wheat bran","Wheat Bran","BO1079","CSL 30%","99999","Crop Byproduct",NA,NA,NA,NA,NA,NA,NA,NA,10.098,"% Diet","day","individual",NA,NA,NA,NA,NA,24,"Wheat Bran","Wheat Bran",FALSE,FALSE,"","","Wheat Bran","Wheat Bran","Wheat Bran","Bran","Crop Byproduct/Cereal ByProducts/Wheat/Wheat Bran","Triticum aestivum",FALSE
"2504","AOM_000613","soybean ground","Soybean","BO1079","CSL 30%","99999","Crop Product",NA,NA,"Ground",NA,NA,NA,NA,NA,2.295,"% Diet","day","individual",NA,NA,NA,NA,NA,25,"Soybean||Grinding","Soybean||Grinding",FALSE,FALSE,"Ground","Ground","Soybean Ground","Soybean Ground","Soybean",NA,"Crop Product/Legume Products/Soybean/Soybean Ground","Glycine max",FALSE
"2505","AOM_006003","unspecified molasses","Molasses","BO1079","CSL 30%","99999","Crop Byproduct",NA,NA,NA,NA,NA,NA,NA,NA,1.6065,"% Diet","day","individual",NA,NA,NA,NA,NA,26,"Molasses","Molasses",FALSE,FALSE,"","","Unspecified Molasses","Unspecified Molasses","Unspecified Molasses",NA,"Crop Byproduct/Sugar Processing ByProducts/Unspecified Molasses",NA,FALSE
"2506","AOM_000760","lime","Limestone","BO1079","CSL 30%","99999","Supplement",NA,NA,NA,NA,NA,NA,NA,NA,0.918,"% Diet","day","individual",NA,NA,NA,NA,NA,27,"Limestone","Limestone",FALSE,FALSE,"","","Lime","Lime","Lime",NA,"Supplement/Mineral/Lime",NA,FALSE
"2507","AOM_000772","salt","Salt","BO1079","CSL 30%","99999","Other Ingredients",NA,NA,NA,NA,NA,NA,NA,NA,0.459,"% Diet","day","individual",NA,NA,NA,NA,NA,28,"Salt","Salt",FALSE,FALSE,"","","Salt","Salt","Salt",NA,"Other Ingredients/Mineral/Salt",NA,FALSE
